  30 1  0.829 ns/day, 28.962 hours/ns, 9.591 timesteps/s, 287.731 katom-step/s
  30 2  1.582 ns/day, 15.169 hours/ns, 18.312 timesteps/s, 549.361 katom-step/s
  30 4  2.990 ns/day, 8.028 hours/ns, 34.601 timesteps/s, 1.038 Matom-step/s
  30 8  5.162 ns/day, 4.649 hours/ns, 59.749 timesteps/s, 1.792 Matom-step/s
  30 16  7.209 ns/day, 3.329 hours/ns, 83.438 timesteps/s, 2.503 Matom-step/s
  30 32  9.500 ns/day, 2.526 hours/ns, 109.953 timesteps/s, 3.299 Matom-step/s
  30 64  11.160 ns/day, 2.151 hours/ns, 129.164 timesteps/s, 3.875 Matom-step/s
  30 128  11.313 ns/day, 2.121 hours/ns, 130.941 timesteps/s, 3.928 Matom-step/s
  82 1  0.311 ns/day, 77.076 hours/ns, 3.604 timesteps/s, 296.677 katom-step/s
  82 2  0.602 ns/day, 39.847 hours/ns, 6.971 timesteps/s, 573.862 katom-step/s
  82 4  1.087 ns/day, 22.076 hours/ns, 13.583 timesteps/s, 1.036 Matom-step/s
  82 8  2.177 ns/day, 11.025 hours/ns, 25.195 timesteps/s, 2.074 Matom-step/s
  82 16  3.675 ns/day, 6.530 hours/ns, 42.539 timesteps/s, 3.502 Matom-step/s
  82 32  6.280 ns/day, 3.822 hours/ns, 72.688 timesteps/s, 5.984 Matom-step/s
  82 64  8.265 ns/day, 2.904 hours/ns, 95.656 timesteps/s, 7.874 Matom-step/s
  82 128  10.436 ns/day, 2.300 hours/ns, 120.786 timesteps/s, 9.943 Matom-step/s
  240 1  0.107 ns/day, 223.281 hours/ns, 1.244 timesteps/s, 298.577 katom-step/s
  240 2  0.214 ns/day, 112.335 hours/ns, 2.473 timesteps/s, 593.464 katom-step/s
  240 4  0.425 ns/day, 56.444 hours/ns, 4.921 timesteps/s, 1.181 Matom-step/s
  240 8  0.822 ns/day, 29.201 hours/ns, 9.513 timesteps/s, 2.283 Matom-step/s
  240 16  1.572 ns/day, 15.265 hours/ns, 18.197 timesteps/s, 4.367 Matom-step/s
  240 32  2.927 ns/day, 8.199 hours/ns, 33.879 timesteps/s, 8.131 Matom-step/s
  240 64  5.010 ns/day, 4.790 hours/ns, 57.991 timesteps/s, 13.918 Matom-step/s
  240 128  6.925 ns/day, 3.466 hours/ns, 80.148 timesteps/s, 19.236 Matom-step/s
  660 1  0.039 ns/day, 614.508 hours/ns, 0.452 timesteps/s, 297.691 katom-step/s
  660 2  0.077 ns/day, 310.513 hours/ns, 0.895 timesteps/s, 589.133 katom-step/s
  660 4  0.155 ns/day, 154.800 hours/ns, 1.794 timesteps/s, 1.182 Matom-step/s
  660 8  0.308 ns/day, 77.936 hours/ns, 3.564 timesteps/s, 2.347 Matom-step/s
  660 16  0.592 ns/day, 40.523 hours/ns, 6.855 timesteps/s, 4.514 Matom-step/s
  660 32  0.999 ns/day, 24.019 hours/ns, 13.065 timesteps/s, 7.616 Matom-step/s
  660 64  2.147 ns/day, 11.178 hours/ns, 23.851 timesteps/s, 16.366 Matom-step/s
  660 128  3.589 ns/day, 6.688 hours/ns, 41.537 timesteps/s, 27.354 Matom-step/s
  810 1  0.032 ns/day, 751.246 hours/ns, 0.370 timesteps/s, 299.503 katom-step/s
  810 2  0.064 ns/day, 373.827 hours/ns, 0.743 timesteps/s, 601.882 katom-step/s
  810 4  0.127 ns/day, 189.081 hours/ns, 1.469 timesteps/s, 1.190 Matom-step/s
  810 8  0.254 ns/day, 94.452 hours/ns, 2.941 timesteps/s, 2.382 Matom-step/s
  810 16  0.495 ns/day, 48.526 hours/ns, 5.724 timesteps/s, 4.637 Matom-step/s
  810 32  0.957 ns/day, 25.075 hours/ns, 11.078 timesteps/s, 8.973 Matom-step/s
  810 64  1.729 ns/day, 13.880 hours/ns, 21.013 timesteps/s, 16.210 Matom-step/s
  810 128  3.226 ns/day, 7.440 hours/ns, 37.334 timesteps/s, 30.241 Matom-step/s
