24 1  0.308 ns/day, 77.999 hours/ns, 3.561 timesteps/s, 86.636 katom-step/s
24 2  0.548 ns/day, 43.787 hours/ns, 6.344 timesteps/s, 154.327 katom-step/s
24 4  1.099 ns/day, 21.830 hours/ns, 12.725 timesteps/s, 309.553 katom-step/s
24 8  2.173 ns/day, 11.045 hours/ns, 25.150 timesteps/s, 611.824 katom-step/s
24 16  4.217 ns/day, 5.691 hours/ns, 48.810 timesteps/s, 1.187 Matom-step/s
24 32  7.463 ns/day, 3.216 hours/ns, 86.372 timesteps/s, 2.101 Matom-step/s
24 64  14.704 ns/day, 1.632 hours/ns, 170.186 timesteps/s, 4.140 Matom-step/s
24 128  25.894 ns/day, 0.927 hours/ns, 299.696 timesteps/s, 7.291 Matom-step/s
96 1  0.077 ns/day, 311.582 hours/ns, 0.892 timesteps/s, 86.751 katom-step/s
96 2  0.152 ns/day, 158.017 hours/ns, 1.758 timesteps/s, 171.057 katom-step/s
96 4  0.286 ns/day, 83.917 hours/ns, 3.310 timesteps/s, 322.103 katom-step/s
96 8  0.551 ns/day, 43.570 hours/ns, 6.375 timesteps/s, 620.375 katom-step/s
96 16  1.096 ns/day, 21.893 hours/ns, 12.688 timesteps/s, 1.235 Matom-step/s
96 32  1.944 ns/day, 12.348 hours/ns, 22.495 timesteps/s, 2.189 Matom-step/s
96 64  3.776 ns/day, 6.356 hours/ns, 43.707 timesteps/s, 4.253 Matom-step/s
96 128  6.219 ns/day, 3.859 hours/ns, 71.979 timesteps/s, 7.004 Matom-step/s
192 1  0.039 ns/day, 622.621 hours/ns, 0.446 timesteps/s, 86.826 katom-step/s
192 2  0.077 ns/day, 311.417 hours/ns, 0.892 timesteps/s, 173.594 katom-step/s
192 4  0.154 ns/day, 155.984 hours/ns, 1.781 timesteps/s, 346.574 katom-step/s
192 8  0.305 ns/day, 78.699 hours/ns, 3.530 timesteps/s, 686.925 katom-step/s
192 16  0.549 ns/day, 43.681 hours/ns, 6.359 timesteps/s, 1.238 Matom-step/s
192 32  0.922 ns/day, 26.037 hours/ns, 10.669 timesteps/s, 2.076 Matom-step/s
192 64  1.929 ns/day, 12.442 hours/ns, 22.325 timesteps/s, 4.345 Matom-step/s
192 128  3.387 ns/day, 7.086 hours/ns, 39.199 timesteps/s, 7.629 Matom-step/s
681 1  0.011 ns/day, 2166.801 hours/ns, 0.128 timesteps/s, 87.378 katom-step/s
681 2  0.022 ns/day, 1084.678 hours/ns, 0.256 timesteps/s, 174.549 katom-step/s
681 4  0.042 ns/day, 576.207 hours/ns, 0.482 timesteps/s, 328.580 katom-step/s
681 8  0.076 ns/day, 313.803 hours/ns, 0.885 timesteps/s, 603.339 katom-step/s
681 16  0.130 ns/day, 185.207 hours/ns, 1.500 timesteps/s, 1.022 Matom-step/s
681 32  0.211 ns/day, 113.518 hours/ns, 2.447 timesteps/s, 1.668 Matom-step/s
681 64  0.399 ns/day, 60.185 hours/ns, 4.615 timesteps/s, 3.146 Matom-step/s
681 128  0.820 ns/day, 29.259 hours/ns, 9.494 timesteps/s, 6.471 Matom-step/s
681 256  1.312 ns/day, 18.292 hours/ns, 15.186 timesteps/s, 10.351 Matom-step/s
681 384  1.766 ns/day, 13.587 hours/ns, 20.445 timesteps/s, 13.935 Matom-step/s
